timestamp,heart_rate,gsr,gsr_diff,emotion,emotion_label
2025-03-20 21:08:59,95,280,0.0,기타,1
2025-03-20 21:08:58,95,268,-12.0,기타,1
2025-03-20 21:08:57,95,275,7.0,기타,1
2025-03-20 21:08:56,95,271,-4.0,기타,1
2025-03-20 21:08:55,86,299,28.0,기타,1
2025-03-20 21:08:54,86,320,21.0,기타,1
2025-03-20 21:08:53,86,318,-2.0,기타,1
2025-03-20 21:08:52,86,315,-3.0,기타,1
2025-03-20 21:08:51,90,311,-4.0,기타,1
2025-03-20 21:08:50,90,302,-9.0,기타,1
2025-03-20 21:08:49,90,298,-4.0,기타,1
2025-03-20 21:08:48,90,289,-9.0,기타,1
2025-03-20 21:08:48,90,291,2.0,기타,1
2025-03-20 21:08:48,90,296,5.0,기타,1
2025-03-20 21:06:42,99,279,-17.0,기타,1
2025-03-20 21:06:41,99,251,-28.0,기타,1
2025-03-20 21:06:40,98,250,-1.0,기타,1
2025-03-20 21:06:39,98,249,-1.0,기타,1
2025-03-20 21:06:38,98,248,-1.0,기타,1
2025-03-20 21:06:37,98,248,0.0,기타,1
2025-03-20 21:06:36,92,247,-1.0,기타,1
2025-03-20 21:06:35,92,243,-4.0,기타,1
2025-03-20 21:06:34,92,241,-2.0,기타,1
2025-03-20 21:06:33,92,242,1.0,기타,1
2025-03-20 21:06:32,94,240,-2.0,기타,1
2025-03-20 21:06:31,94,239,-1.0,기타,1
2025-03-20 21:06:30,94,237,-2.0,기타,1
2025-03-20 21:06:29,94,237,0.0,기타,1
2025-03-20 21:06:28,95,234,-3.0,기타,1
2025-03-20 21:06:27,95,233,-1.0,기타,1
2025-03-20 21:06:26,95,230,-3.0,기타,1
2025-03-20 21:06:25,95,235,5.0,기타,1
2025-03-20 21:06:24,100,237,2.0,기타,1
2025-03-20 21:06:23,100,238,1.0,기타,1
2025-03-20 21:06:22,100,234,-4.0,기타,1
2025-03-20 21:06:21,100,233,-1.0,기타,1
2025-03-20 21:06:20,97,229,-4.0,기타,1
2025-03-20 21:06:19,97,223,-6.0,기타,1
